,Year,Model,Price US$,Performance,Quantity,Adj. Price US$
0,1944,Harvard Mark I,442686.0,0.0000001,1,4454527.874999999
1,1945,ENIAC,487000.0,0.0000182,1,4791538.888888889
2,1950,Whirlwind I,708909.0,0.0000710,1,5209451.614107884
3,1951,UNIVAC I,900000.0,0.00019,1,6130384.615384615
4,1952,EDVAC,415906.0,0.0000217,1,2779507.6452830187
5,1953,IBM 701,1229575.0,0.00078,1,8155720.31835206
6,1953,UNIVAC 1103,795709.0,0.00071,1,5277905.014981274
7,1953,Whirlwind II,1063197.0,0.00015,1,7052141.898876404
8,1954,Burroughs 204,289330.0,0.00012,1,1904845.464684015
9,1954,IBM 650,144647.0,0.00018,1,952304.2267657993
10,1954,NCR 303,191755.0,0.0000054,1,1262446.4869888476
11,1955,IBM 702,1085197.0,0.00065,1,7171208.533582089
12,1956,IBM 704,1710956.0,0.00635,1,11140084.838235293
13,1956,UNIVAC 1103A,1260000.0,0.00183,1,8203897.05882353
14,1957,AN/FSQ 7&8,7957092.0,0.02391,1,50149501.53736655
15,1957,UNIVAC II ,1008000.0,0.00165,1,6352911.032028469
16,1958,Burroughs 220,282092.0,0.00114,1,1728667.5847750865
17,1958,IBM 709,2538888.0,0.00437,1,15558375.94463668
18,1958,Lincoln TX2,2658305.0,0.05282,1,16290166.626297578
19,1958,UNIVAC 1105,1555200.0,0.00495,1,9530308.650519032
20,1959,Burroughs D204,331624.0,0.00167,1,2018234.034364261
21,1959,GE 210,506295.0,0.00310,1,3081266.1340206186
22,1959,IBM 1620,67984.0,0.0000669,1,413744.5498281787
23,1959,IBM 7090,2314761.0,0.06653,1,14087428.628865978
24,1959,NCR 304,540000.0,0.00167,1,3286391.7525773193
25,1959,RCA 501,578661.0,0.00109,1,3521679.1443298967
26,1960,CDC 160,54000.0,0.0000770,1,323087.8378378378
27,1960,CDC 1604,1229575.0,0.03448,1,7356680.152027027
28,1960,DEC PDP-1,542468.0,0.00311,1,3245644.689189189
29,1960,Honeywell 800,792000.0,0.02615,1,4738621.621621622
30,1960,IBM 1401 (card),104886.0,0.00057,1,627544.2770270269
31,1960,IBM 1401 (MT),271234.0,0.00090,1,1622822.3445945946
32,1960,UNIVAC LARC,4882096.0,0.07579,1,29210108.162162162
33,1961,IBM 1410,361674.0,0.00279,1,2142222.923076923
34,1961,IBM 7030 (Stretch),10851973.0,0.48437,1,64277070.84615385
35,1961,IBM 7074,1157024.0,0.03646,1,6853142.153846154
36,1961,RCA 601,1152000.0,0.06360,1,6823384.615384616
37,1961,UNIVAC 490,904186.0,0.01635,1,5355563.230769231
38,1962,Burroughs 5000,583200.0,0.02616,1,3420023.841059603
39,1962,DEC PDP-4,47019.0,0.00013,1,275730.62582781457
40,1962,IBM 1620 mod III,86799.0,0.00011,1,509010.02980132453
41,1962,IBM 7094,2567798.0,0.12988,1,15058179.662251657
42,1962,NCR 315,343599.0,0.00625,1,2014946.4536423841
43,1962,SDS 920,343599.0,0.00677,1,2014946.4536423841
44,1962,UNIVAC 1107,1800000.0,0.10270,1,10555629.139072848
45,1962,UNIVAC III,810000.0,0.02275,1,4750033.112582781
46,1963,CDC 3600,1988571.0,0.15382,1,11509017.127450978
47,1963,Honeywell 1800,1266165.0,0.07992,1,7328033.382352941
48,1963,IBM 7040,506295.0,0.00139,1,2930223.676470588
49,1963,IBM 7044,940384.0,0.03981,1,5442549.22875817
50,1964,CDC 6600,1000000.0,5.36,1,5712903.225806451
51,1965,DEC PDP-8,18000.0,0.00132,1,101200.0
52,1965,IBM 1130,32550.0,0.0000302,1,183003.33333333334
53,1965,IBM 360/30,310000.0,0.01165,1,1742888.888888889
54,1965,IBM 360/40,417000.0,0.04091,1,2344466.6666666665
55,1965,IBM 360/50,270000.0,0.13958,6,1518000.0
56,1965,IBM 360/65,1625000.0,1.06,1,9136111.111111112
57,1966,IBM 360/20,94000.0,0.00295,1,513808.64197530865
58,1966,IBM 360/44,362000.0,0.94,1,1978709.87654321
59,1968,DEC PDP-10 (KA10),500000.0,0.19976,15,2544540.2298850575
60,1971,DEC PDP-11/20,5200.0,0.05741,8,22738.765432098764
61,1971,IBM 370/145,700000.0,0.44580,1,3060987.654320988
62,1971,IBM 370/155,1864000.0,1.20,1,8150972.839506173
63,1971,IBM 370/165,3245000.0,3.52,1,14189864.197530864
64,1972,DEC PDP-10 (KI10),750000.0,0.60,15,3177631.5789473685
65,1972,DEC PDP-11/05 (11/10),25000.0,0.04630,8,105921.05263157896
66,1972,DEC PDP-11/45,45000.0,0.76,8,190657.8947368421
67,1972,IBM 370/135,488000.0,0.17220,1,2067578.9473684211
68,1973,DEC PDP-11/40,40000.0,0.06667,8,159549.54954954956
69,1973,IBM 370/125,354000.0,0.09627,15,1412013.5135135136
70,1973,IBM 370/158,1915200.0,0.64,6,7639232.432432433
71,1973,IBM 370/168,2884780.0,1.40,6,11506633.73873874
72,1974,IBM 370/115,110550.0,0.03629,5,397127.89046653145
73,1975,Altair 8800,395.0,0.02800,est-14,1300.2695167286247
74,1975,DEC PDP-10 (KL10/DEC2060),900000.0,1.47,8,2962639.405204461
75,1975,DEC PDP-11/03 (LSI-11),3000.0,0.01852,8,9875.46468401487
76,1975,DEC PDP-11/04,10000.0,0.05185,8,32918.215613382905
77,1975,DEC PDP-11/70,80000.0,0.67,8,263345.72490706324
78,1976,DEC PDP-11/34,30000.0,0.06481,8,93374.34094903339
79,1976,DEC PDP-11/55,45000.0,0.76,8,140061.51142355008
80,1976,IBM 370/125-2,169610.0,0.10161,5,527907.3989455184
81,1976,IBM 370/138,329680.0,0.18871,5,1026121.7574692443
82,1976,IBM 370/148,689000.0,0.32103,6,2144497.3637961335
83,1977,Amdahl 470V/5,2870000.0,1.67,6,8387409.240924092
84,1977,Amdahl 470V/6-II,3500000.0,2.57,6,10228547.854785478
85,1977,Amdahl 470V/7,3700000.0,4.10,6,10813036.303630363
86,1977,DEC PDP-11/60,40000.0,0.50,8,116897.6897689769
87,1977,IBM 370/135-3,460720.0,0.18871,5,1346427.590759076
88,1977,IBM 370/158-3,2001100.0,0.73,5,5848099.174917491
89,1977,IBM 370/168-3,3103210.0,1.52,6,9068951.99669967
90,1977,NAS AS/6,2360000.0,2.09,6,6896963.696369637
91,1978,Cray-1,8000000.0,86,16,21730061.34969325
92,1978,DEC PDP-11/34C,30000.0,0.13519,8,81487.73006134969
93,1978,IBM 3031,1455000.0,0.73,6,3952154.90797546
94,1978,IBM 3032,2368000.0,1.88,6,6432098.159509202
95,1978,IBM 3033,3605000.0,2.37,6,9792108.895705521
96,1979,Amdahl 470V/5-II,2100000.0,2.31,5,5122727.272727273
97,1979,Amdahl 470V/6,2430000.0,2.85,5,5927727.272727273
98,1979,DEC VAX 11/780,500000.0,1.00,7,1219696.9696969697
99,1980,IBM 4331 Grp2,150000.0,0.35484,5,322390.7766990291
100,1980,IBM 4341 Grp2,385000.0,1.08,5,827469.6601941747
101,1981,Amdahl 5860,3800000.0,10.00,5,7403520.352035203
102,1981,Amdahl 5880,7500000.0,17.50,5,14612211.221122112
103,1981,IBM 3081 Dyadic Proc,3720000.0,7.50,5,7247656.765676567
104,1981,IBM 4331 Grp1,76000.0,0.17742,5,148070.40704070407
105,1981,IBM 4341 Grp1,257250.0,0.60,5,501198.84488448844
106,1981,NAS AS/9000 DPC-AP,5555000.0,11.42,5,10822777.777777778
107,1981,Osborne-1,1795.0,0.05700,est-14,3497.189218921892
108,1982,IBM 4321,85000.0,0.17742,5,155994.81865284973
109,1982,IBM 4331 Grp11,109650.0,0.26613,5,201233.31606217616
110,1982,IBM 4341 Grp11,275000.0,0.81,5,504689.1191709844
111,1982,IBM S/38 Mod 3,61570.0,0.10806,5,112995.30569948186
112,1982,IBM S/38 Mod 4,81330.0,0.15484,5,149259.51295336787
113,1982,IBM S/38 Mod 5,147300.0,0.25806,5,270329.8445595855
114,1983,Amdahl 470V/7,1700000.0,4.34,5,3022791.164658635
115,1983,Amdahl 470V/7A,1375000.0,3.55,5,2444904.618473896
116,1983,Amdahl 470V/7B,1225000.0,2.77,5,2178187.751004016
117,1983,Amdahl 470V/7C,1150000.0,2.13,5,2044829.3172690764
118,1983,Amdahl 470V/8,1925000.0,5.13,5,3422866.465863454
119,1983,Amdahl 5840,2350000.0,5.92,5,4178564.2570281127
120,1983,Amdahl 5850,2750000.0,7.89,5,4889809.236947792
121,1983,Amdahl 5860,3150000.0,10.26,5,5601054.21686747
122,1983,Amdahl 5870,5200000.0,17.98,5,9246184.738955824
123,1983,Amdahl 5880,6190000.0,18.45,5,11006516.06425703
124,1983,CDC Cyber 170/815,195000.0,0.52,5,346731.9277108434
125,1983,CDC Cyber 170/845,1275000.0,3.35,5,2267093.373493976
126,1983,CDC Cyber 170/875,2850000.0,11.08,5,5067620.4819277115
127,1983,CDC Cyber 170/875D,4200000.0,19.79,5,7468072.289156627
128,1983,DEC PDP-10 (1091),496000.0,1.16,5,881943.7751004016
129,1983,DEC VAX 11/730,38900.0,0.32258,5,69168.57429718875
130,1983,DEC VAX 11/750,84900.0,0.65,5,150961.7469879518
131,1983,DEC VAX 11/780,184000.0,1.00,2,327172.6907630522
132,1983,DG MV/10000,211070.0,2.23,5,375306.1947791165
133,1983,DG MV/4000,63400.0,0.58,5,112732.32931726908
134,1983,DG MV/8000-11,126250.0,1.15,5,224486.6967871486
135,1983,IBM 3081 Mod G,3260000.0,8.06,5,5796646.586345382
136,1983,IBM 3081 Mod K,4320000.0,10.89,5,7681445.783132531
137,1983,IBM 3083B,2020000.0,4.47,5,3591787.1485943776
138,1983,IBM 3083-E,1200000.0,2.98,5,2133734.939759036
139,1983,IBM 3083-J,3020000.0,5.97,5,5369899.598393574
140,1983,IBM 3084,8700000.0,20.68,5,15469578.313253013
141,1983,IBM 4341 Grp12,500000.0,1.23,5,889056.2248995984
142,1983,IBM 8130A,34285.0,0.19355,5,60962.58534136546
143,1983,IBM 8140,74770.0,0.32258,5,132949.46787148595
144,1983,IBM PC/XT (+8087),4995.0,0.25000,14,8881.671686746988
145,1983,IBM S/38 Mod 8,160000.0,0.52,5,284497.9919678715
146,1983,NAS AS/6620,350000.0,1.19,5,622339.357429719
147,1983,NAS AS/6630,465000.0,1.50,5,826822.2891566266
148,1983,NAS AS/6650,580000.0,1.79,5,1031305.2208835342
149,1983,NAS AS/7000,1300000.0,2.31,5,2311546.184738956
150,1983,NAS AS/7000 DPC,2075000.0,3.92,5,3689583.3333333335
151,1983,NAS AS/7000N,1050000.0,1.69,5,1867018.0722891567
152,1983,NAS AS/8040,1300000.0,3.45,5,2311546.184738956
153,1983,NAS AS/8050,1800000.0,4.47,5,3200602.4096385543
154,1983,NAS AS/8060,2400000.0,5.97,5,4267469.879518072
155,1983,NAS AS/9040,2000000.0,5.26,5,3556224.8995983936
156,1983,NAS AS/9050,2570000.0,6.55,5,4569748.995983936
157,1983,NAS AS/9060,3550000.0,8.23,5,6312299.196787149
158,1983,NAS AS/9070,4150000.0,11.85,5,7379166.666666667
159,1983,NAS AS/9080,5250000.0,14.84,5,9335090.361445785
160,1983,Prime 2250,39900.0,0.48387,5,70946.68674698795
161,1983,Prime 750,212000.0,0.97,5,376959.83935742977
162,1983,Prime 850,355000.0,1.76,5,631229.9196787149
163,1983,Universe 68/05,16000.0,0.97,5,28449.79919678715
164,1984,Apple Macintosh,2500.0,0.50,14,4261.30895091434
165,1984,AT&T 3B2/310,12845.0,0.57,9,21894.60538979788
166,1985,Amdahl 5840,1550000.0,6.10,5,2551161.7100371746
167,1985,Amdahl 5860,2150000.0,10.26,5,3538708.178438662
168,1985,Amdahl 5867,2850000.0,15.97,5,4690845.724907064
169,1985,Amdahl 5870,3470000.0,19.31,5,5711310.408921934
170,1985,AT&T 3B2/400,20845.0,1.04,9,34309.01022304833
171,1985,CDC Cyber/180 - 810,125000.0,0.95,5,205738.84758364313
172,1985,CDC Cyber/180 - 830,180000.0,1.53,5,296263.9405204461
173,1985,CDC Cyber/180 - 840,760000.0,3.71,5,1250892.1933085502
174,1985,CDC Cyber/180 - 850,1115000.0,5.48,5,1835190.5204460968
175,1985,CDC Cyber/180 - 860,1575000.0,9.27,5,2592309.4795539035
176,1985,CDC Cyber/180 - 990,3350000.0,40.13,5,5513801.115241636
177,1985,CDC Cyber/180 - 990 DP,5100000.0,60,5,8394144.98141264
178,1985,DEC VAX 11/725,24900.0,0.32258,5,40983.178438661715
179,1985,DEC VAX 11/730,21500.0,0.32258,5,35387.08178438662
180,1985,DEC VAX 11/750,51000.0,0.65,5,83941.4498141264
181,1985,DEC VAX 11/780,145000.0,1.00,2,238657.06319702603
182,1985,DEC VAX 11/782,320000.0,1.76,5,526691.4498141265
183,1985,DEC VAX 11/785,195000.0,1.69,5,320952.6022304833
184,1985,DEC VAX 8600,350000.0,4.19,5,576068.7732342008
185,1985,DEC VAX 8650,400000.0,7.00,7,658364.3122676581
186,1985,DG MV/4000DC,38200.0,0.58,5,62873.79182156134
187,1985,Honeywell DPS 88/41,1850000.0,3.53,5,3044934.9442379186
188,1985,Honeywell DPS 88/81,2850000.0,5.31,5,4690845.724907064
189,1985,Honeywell DPS 90/91,3950000.0,7.95,5,6501347.583643123
190,1985,Honeywell DPS 90/92,5000000.0,14.31,5,8229553.9033457255
191,1985,Honeywell DPS 90/94,8350000.0,27.03,5,13743355.018587362
192,1985,HP 3000 Series 58,75000.0,0.54,9,123443.30855018587
193,1985,IBM 3081 Mod KX,261000.0,11.85,5,429582.7137546469
194,1985,IBM 3081 Mod QX,6010000.0,22.32,5,9891923.791821562
195,1985,IBM 3090 Mod 200,4600000.0,21.34,5,7571189.591078067
196,1985,IBM 3090 Mod 400,9300000.0,38.40,5,15306970.26022305
